Id,Template,Category,Page,Field,Property,Summary,Status,Notes
18,"Ascent Reconnect Audio V23","Answer the form fills in","Customer Reconnected","CustomerReconnected.CustomerReconnected3.Tenant6Name","","Answer the form fills in that the generator could not express.","",""
19,"Ascent Reconnect Audio V23","Answer the form fills in","Customer Reconnected","CustomerReconnected.ObservedReconnectYes.WhoReconnectedWith","","Answer the form fills in that the generator could not express.","",""
20,"Ascent Reconnect Audio V23","Answer the form fills in","Job Sheet","JobSheet.ContactRules.ContactOK","","Answer the form fills in that the generator could not express.","",""
21,"Ascent Reconnect Audio V23","Answer the form fills in","Job Sheet","JobSheet.ContactRules.actAM","","Answer the form fills in that the generator could not express.","",""
22,"Ascent Reconnect Audio V23","Answer the form fills in","Job Sheet","JobSheet.ContactRules.actEVE","","Answer the form fills in that the generator could not express.","",""
23,"Ascent Reconnect Audio V23","Answer the form fills in","Job Sheet","JobSheet.ContactRules.actPM","","Answer the form fills in that the generator could not express.","",""
24,"Ascent Reconnect Audio V23","Answer the form fills in","Job Sheet","JobSheet.VisitOutcome","","Answer the form fills in that the generator could not express.","",""
25,"Ascent Reconnect Audio V23","Shown/usable state","Contact Made - Tenant / Occupier","ContactMadeWithTenant.CMTAnyPetsYes","visible","Several handlers decide it, and the template does not record which wins","",""
26,"Ascent Reconnect Audio V23","Shown/usable state","Contact Made - Tenant / Occupier","ContactMadeWithTenant.DisputesYes","visible","Several handlers decide it, and the template does not record which wins","",""
27,"Ascent Reconnect Audio V23","Shown/usable state","Contact Made - Tenant / Occupier","ContactMadeWithTenant.ForwardingAddressForOwnerYes","visible","Several handlers decide it, and the template does not record which wins","",""
28,"Ascent Reconnect Audio V23","Shown/usable state","Contact Made - Tenant / Occupier","ContactMadeWithTenant.RequestedCopyOfAgreementNo","visible","Several handlers decide it, and the template does not record which wins","",""
29,"Ascent Reconnect Audio V23","Shown/usable state","Contact Made - Tenant / Occupier","ContactMadeWithTenant.RequestedCopyOfAgreementYes","visible","Several handlers decide it, and the template does not record which wins","",""
30,"Ascent Reconnect Audio V23","Shown/usable state","Contact Made - Tenant / Occupier","ContactMadeWithTenant.TenancyAgreementInForceYes","visible","Several handlers decide it, and the template does not record which wins","",""
31,"Ascent Reconnect Audio V23","Shown/usable state","Contact Made - Tenant / Occupier","ContactMadeWithTenant.WhoPaysTheRentOther","visible","Several handlers decide it, and the template does not record which wins","",""
32,"Ascent Reconnect Audio V23","Shown/usable state","DPA","DPA.DPANext","visible","Several handlers decide it, and the template does not record which wins","",""
33,"Ascent Reconnect Audio V23","Shown/usable state","Job Sheet","JobSheet.WhyNoPhotoEvidence","visible","Several handlers decide it, and the template does not record which wins","",""
34,"Ascent Reconnect Audio V23","Shown/usable state","Questions For Agent","QuestionsForAgent.CallTheOffice","visible","Several handlers decide it, and the template does not record which wins","",""
35,"Ascent Reconnect Audio V23","Shown/usable state","Vehicle Information","VehicleInformationPage.Next","visible","Several handlers decide it, and the template does not record which wins","",""
36,"Ascent Reconnect Audio V23","Shown/usable state","Vehicle Information","VehicleInformationPage.NotInPossession","visible","Several handlers decide it, and the template does not record which wins","",""
37,"Ascent Reconnect Audio V23","Shown/usable state","Vehicle Information","VehicleInformationPage.StillInPossession","visible","Several handlers decide it, and the template does not record which wins","",""
38,"Ascent Reconnect Audio V23","Rule naming more than one element","","GoneAway","visible","Rule names more than one element; which one it is about is not recorded.","",""
